,source,hyperlink,house_is,property_subtype,price,sale,rooms_number,area,kitchen_has,furnished,open_fire,terrace,terrace_area,garden,garden_area,land_surface,land_plot_surface,facades_number,swimming_pool_has,building_state,unmerged_postcode
3,6,8910441,True,HOUSE,545000,,4.0,235.0,True,True,False,False,0.0,False,0.0,63.0,63.0,0.0,False,RENOVATED,1200
4,6,8758672,True,MIXED-USE-BUILDING,500000,,2.0,220.0,True,False,False,False,0.0,True,60.0,193.0,193.0,0.0,False,AS NEW,1190
7,6,8913667,True,APARTMENT-BLOCK,650000,,4.0,200.0,True,False,False,True,4.0,True,150.0,301.0,301.0,0.0,False,GOOD,1150
11,6,8783402,True,APARTMENT-BLOCK,399000,,3.0,137.0,True,False,False,True,10.0,False,0.0,195.0,30.0,0.0,False,TO RENOVATE,1030
14,6,8560612,True,APARTMENT-BLOCK,1750000,,7.0,550.0,True,False,False,True,20.0,True,60.0,270.0,270.0,0.0,False,AS NEW,1200
19,6,8941858,True,APARTMENT-BLOCK,695000,,7.0,257.0,False,False,False,False,0.0,False,0.0,350.0,350.0,0.0,False,TO RENOVATE,1140
24,6,8309310,True,MIXED-USE-BUILDING,1395000,,3.0,568.0,True,False,False,False,0.0,False,0.0,196.0,196.0,0.0,False,RENOVATED,1000
25,6,8157990,True,MIXED-USE-BUILDING,2375000,,10.0,927.0,True,False,False,True,0.0,False,0.0,183.0,183.0,0.0,False,RENOVATED,1000
26,6,7701433,True,MIXED-USE-BUILDING,5000000,,41.0,2049.0,True,False,False,True,70.0,True,198.0,1988.0,1988.0,0.0,False,AS NEW,1000
27,6,7701432,True,MIXED-USE-BUILDING,5000000,,41.0,2049.0,True,False,False,True,70.0,True,198.0,1988.0,1988.0,0.0,False,AS NEW,1070
29,6,8894789,True,APARTMENT-BLOCK,520000,,8.0,360.0,True,False,False,True,15.0,True,65.0,147.0,147.0,0.0,False,TO RENOVATE,1030
30,6,8846741,True,APARTMENT-BLOCK,749000,,8.0,350.0,True,False,False,True,37.0,True,138.0,235.0,235.0,0.0,False,AS NEW,1090
31,6,8744021,True,APARTMENT-BLOCK,2300000,,5.0,500.0,True,False,False,True,8.0,True,130.0,258.0,258.0,0.0,False,TO RENOVATE,1050
32,6,8828440,True,MIXED-USE-BUILDING,1475000,,5.0,260.0,True,True,False,True,6.0,False,0.0,69.0,69.0,0.0,False,AS NEW,1000
33,6,8911980,True,MIXED-USE-BUILDING,520000,,4.0,200.0,False,False,False,False,0.0,False,0.0,69.0,69.0,0.0,False,TO RENOVATE,1050
34,6,8895992,True,MIXED-USE-BUILDING,690000,,5.0,230.0,True,False,False,True,25.0,False,0.0,489.0,489.0,0.0,False,GOOD,1070
35,6,8950963,True,APARTMENT-BLOCK,925000,,3.0,220.0,True,False,False,True,22.0,True,113.0,240.0,240.0,0.0,False,GOOD,1150
42,6,8787910,True,HOUSE,980000,,4.0,325.0,True,False,False,True,26.0,True,300.0,400.0,400.0,0.0,False,TO RENOVATE,1150
45,6,8909511,True,APARTMENT-BLOCK,398000,,0.0,180.0,False,False,False,False,0.0,False,0.0,50.0,50.0,0.0,False,RENOVATED,1020
46,6,8811432,True,MIXED-USE-BUILDING,469000,,0.0,203.0,False,False,False,False,0.0,False,0.0,80.0,40.0,0.0,False,TO RENOVATE,1090
