property_subtype,price,rooms_number,area,postcode,locality,longitude,latitude
HOUSE,545000,4.0,235.0,1200,Woluwe-Saint-Lambert,4.4284842000000015,50.84669279999999
APARTMENT-BLOCK,1750000,7.0,550.0,1200,Woluwe-Saint-Lambert,4.4284842000000015,50.84669279999999
HOUSE,550000,4.0,180.0,1200,Woluwe-Saint-Lambert,4.4284842000000015,50.84669279999999
APARTMENT-BLOCK,550000,3.0,160.0,1200,Woluwe-Saint-Lambert,4.4284842000000015,50.84669279999999
APARTMENT-BLOCK,775000,5.0,220.0,1200,Woluwe-Saint-Lambert,4.4284842000000015,50.84669279999999
APARTMENT-BLOCK,1500000,10.0,600.0,1200,Woluwe-Saint-Lambert,4.4284842000000015,50.84669279999999
APARTMENT-BLOCK,1195000,5.0,302.0,1200,Woluwe-Saint-Lambert,4.4284842000000015,50.84669279999999
APARTMENT-BLOCK,1250000,3.0,280.0,1200,Woluwe-Saint-Lambert,4.4284842000000015,50.84669279999999
APARTMENT-BLOCK,875000,5.0,226.0,1200,Woluwe-Saint-Lambert,4.4284842000000015,50.84669279999999
APARTMENT-BLOCK,720000,5.0,290.0,1200,Woluwe-Saint-Lambert,4.4284842000000015,50.84669279999999
APARTMENT-BLOCK,1250000,3.0,280.0,1200,Woluwe-Saint-Lambert,4.4284842000000015,50.84669279999999
APARTMENT-BLOCK,1775000,13.0,0.0,1200,Woluwe-Saint-Lambert,4.4284842000000015,50.84669279999999
HOUSE,775000,5.0,275.0,1200,Woluwe-Saint-Lambert,4.4284842000000015,50.84669279999999
APARTMENT-BLOCK,1679000,10.0,520.0,1200,Woluwe-Saint-Lambert,4.4284842000000015,50.84669279999999
HOUSE,545000,4.0,235.0,1200,Woluwe-Saint-Lambert,4.4284842000000015,50.84669279999999
HOUSE,590000,3.0,300.0,1200,Woluwe-Saint-Lambert,4.4284842000000015,50.84669279999999
APARTMENT-BLOCK,1750000,7.0,550.0,1200,Woluwe-Saint-Lambert,4.4284842000000015,50.84669279999999
HOUSE,790000,3.0,201.0,1200,Woluwe-Saint-Lambert,4.4284842000000015,50.84669279999999
HOUSE,645000,6.0,265.0,1200,Woluwe-Saint-Lambert,4.4284842000000015,50.84669279999999
HOUSE,715000,4.0,186.0,1200,Woluwe-Saint-Lambert,4.4284842000000015,50.84669279999999
HOUSE,550000,4.0,180.0,1200,Woluwe-Saint-Lambert,4.4284842000000015,50.84669279999999
APARTMENT-BLOCK,550000,3.0,160.0,1200,Woluwe-Saint-Lambert,4.4284842000000015,50.84669279999999
HOUSE,545000,5.0,280.0,1200,Woluwe-Saint-Lambert,4.4284842000000015,50.84669279999999
HOUSE,1695000,4.0,485.0,1200,Woluwe-Saint-Lambert,4.4284842000000015,50.84669279999999
VILLA,1595000,4.0,400.0,1200,Woluwe-Saint-Lambert,4.4284842000000015,50.84669279999999
HOUSE,550000,3.0,176.0,1200,Woluwe-Saint-Lambert,4.4284842000000015,50.84669279999999
HOUSE,750000,4.0,230.0,1200,Woluwe-Saint-Lambert,4.4284842000000015,50.84669279999999
HOUSE,845000,6.0,294.0,1200,Woluwe-Saint-Lambert,4.4284842000000015,50.84669279999999
HOUSE,895000,5.0,331.0,1200,Woluwe-Saint-Lambert,4.4284842000000015,50.84669279999999
HOUSE,525000,3.0,122.0,1200,Woluwe-Saint-Lambert,4.4284842000000015,50.84669279999999
APARTMENT-BLOCK,775000,5.0,220.0,1200,Woluwe-Saint-Lambert,4.4284842000000015,50.84669279999999
HOUSE,535000,3.0,160.0,1200,Woluwe-Saint-Lambert,4.4284842000000015,50.84669279999999
HOUSE,2650000,7.0,550.0,1200,Woluwe-Saint-Lambert,4.4284842000000015,50.84669279999999
MANSION,789000,5.0,220.0,1200,Woluwe-Saint-Lambert,4.4284842000000015,50.84669279999999
HOUSE,755000,5.0,220.0,1200,Woluwe-Saint-Lambert,4.4284842000000015,50.84669279999999
APARTMENT-BLOCK,1500000,10.0,600.0,1200,Woluwe-Saint-Lambert,4.4284842000000015,50.84669279999999
HOUSE,1500000,10.0,600.0,1200,Woluwe-Saint-Lambert,4.4284842000000015,50.84669279999999
VILLA,1595000,4.0,400.0,1200,Woluwe-Saint-Lambert,4.4284842000000015,50.84669279999999
HOUSE,710000,6.0,250.0,1200,Woluwe-Saint-Lambert,4.4284842000000015,50.84669279999999
