property_subtype,price,rooms_number,area,unmerged_postcode
HOUSE,545000,4.0,235.0,1200
MIXED-USE-BUILDING,500000,2.0,220.0,1190
APARTMENT-BLOCK,650000,4.0,200.0,1150
APARTMENT-BLOCK,399000,3.0,137.0,1030
APARTMENT-BLOCK,1750000,7.0,550.0,1200
APARTMENT-BLOCK,695000,7.0,257.0,1140
MIXED-USE-BUILDING,1395000,3.0,568.0,1000
APARTMENT-BLOCK,520000,8.0,360.0,1030
APARTMENT-BLOCK,749000,8.0,350.0,1090
APARTMENT-BLOCK,2300000,5.0,500.0,1050
MIXED-USE-BUILDING,1475000,5.0,260.0,1000
MIXED-USE-BUILDING,520000,4.0,200.0,1050
MIXED-USE-BUILDING,690000,5.0,230.0,1070
APARTMENT-BLOCK,925000,3.0,220.0,1150
HOUSE,980000,4.0,325.0,1150
APARTMENT-BLOCK,398000,0.0,180.0,1020
MIXED-USE-BUILDING,469000,0.0,203.0,1090
MIXED-USE-BUILDING,550000,3.0,245.0,1150
MIXED-USE-BUILDING,1150000,4.0,320.0,1040
HOUSE,550000,4.0,180.0,1200
APARTMENT-BLOCK,940000,6.0,240.0,1030
MIXED-USE-BUILDING,1600000,6.0,300.0,1000
APARTMENT-BLOCK,550000,3.0,160.0,1200
APARTMENT-BLOCK,785000,5.0,184.0,1180
MIXED-USE-BUILDING,1350000,3.0,423.0,1040
MIXED-USE-BUILDING,388000,3.0,237.0,1080
APARTMENT-BLOCK,1350000,7.0,400.0,1000
MIXED-USE-BUILDING,1500000,6.0,521.0,1000
EXCEPTIONAL-PROPERTY,1880000,7.0,400.0,1150
APARTMENT-BLOCK,495000,5.0,166.0,1180
MIXED-USE-BUILDING,1500000,7.0,520.0,1000
APARTMENT-BLOCK,490000,4.0,160.0,1050
APARTMENT-BLOCK,785000,6.0,233.0,1040
MIXED-USE-BUILDING,475000,4.0,190.0,1190
APARTMENT-BLOCK,735000,4.0,272.0,1000
APARTMENT-BLOCK,435000,4.0,204.0,1080
APARTMENT-BLOCK,925000,9.0,300.0,1160
APARTMENT-BLOCK,1350000,10.0,540.0,1000
APARTMENT-BLOCK,700000,8.0,300.0,1090
APARTMENT-BLOCK,750000,0.0,350.0,1070
EXCEPTIONAL-PROPERTY,1460000,2.0,362.0,1000
APARTMENT-BLOCK,795000,7.0,325.0,1140
MIXED-USE-BUILDING,860000,6.0,300.0,1160
APARTMENT-BLOCK,149000,1.0,140.0,1140
MIXED-USE-BUILDING,495000,5.0,250.0,1060
APARTMENT-BLOCK,695000,4.0,180.0,1000
APARTMENT-BLOCK,1880000,7.0,450.0,1150
APARTMENT-BLOCK,435000,4.0,220.0,1210
APARTMENT-BLOCK,750000,3.0,220.0,1180
APARTMENT-BLOCK,775000,5.0,220.0,1200
APARTMENT-BLOCK,1150000,4.0,230.0,1000
HOUSE,315000,6.0,180.0,1080
APARTMENT-BLOCK,395000,0.0,185.0,1020
MIXED-USE-BUILDING,890000,9.0,313.0,1060
APARTMENT-BLOCK,399000,5.0,240.0,1070
MIXED-USE-BUILDING,495000,3.0,248.0,1081
APARTMENT-BLOCK,1290000,2.0,0.0,1120
APARTMENT-BLOCK,995000,5.0,330.0,1000
MIXED-USE-BUILDING,1000000,3.0,440.0,1180
MIXED-USE-BUILDING,1400000,4.0,430.0,1040
APARTMENT-BLOCK,1500000,10.0,600.0,1200
APARTMENT-BLOCK,365000,4.0,145.0,1070
APARTMENT-BLOCK,429000,4.0,202.0,1080
APARTMENT-BLOCK,1390000,5.0,390.0,1050
MIXED-USE-BUILDING,425000,5.0,236.0,1070
MIXED-USE-BUILDING,895000,8.0,590.0,1030
APARTMENT-BLOCK,800000,4.0,415.0,1050
APARTMENT-BLOCK,1300000,9.0,400.0,1070
APARTMENT-BLOCK,2200000,7.0,520.0,1050
APARTMENT-BLOCK,750000,4.0,190.0,1040
MIXED-USE-BUILDING,369000,4.0,240.0,1060
APARTMENT-BLOCK,650000,6.0,456.0,1080
MIXED-USE-BUILDING,875000,8.0,325.0,1030
APARTMENT-BLOCK,1050000,11.0,0.0,1020
MIXED-USE-BUILDING,495777,5.0,170.0,1050
APARTMENT-BLOCK,999000,3.0,112.0,1000
APARTMENT-BLOCK,1195000,5.0,302.0,1200
MIXED-USE-BUILDING,645000,5.0,425.0,1030
APARTMENT-BLOCK,699000,3.0,140.0,1083
APARTMENT-BLOCK,693000,3.0,245.0,1030
HOUSE,530000,6.0,300.0,1070
APARTMENT-BLOCK,530000,6.0,297.0,1070
MIXED-USE-BUILDING,619000,5.0,0.0,1000
APARTMENT-BLOCK,750000,3.0,0.0,1190
APARTMENT-BLOCK,1400000,8.0,600.0,1190
MIXED-USE-BUILDING,1000000,2.0,430.0,1030
APARTMENT-BLOCK,395000,4.0,200.0,1030
MIXED-USE-BUILDING,875000,10.0,500.0,1080
APARTMENT-BLOCK,985000,5.0,275.0,1050
MIXED-USE-BUILDING,1100000,6.0,430.0,1030
APARTMENT-BLOCK,500000,3.0,230.0,1190
APARTMENT-BLOCK,1250000,3.0,280.0,1200
APARTMENT-BLOCK,520000,7.0,350.0,1090
APARTMENT-BLOCK,470000,3.0,260.0,1090
